# Relative game path|SHA-256
movies/Infogrames.bik|20e3e923759ed5be61ec52acc172acb2c369d43d99de68abf2ec68d034267da9
movies/OldCalShutdown.bik|906ffe1fbddfadfcbc9bfad0a40521726151b394bc48f7dc0621d532c6954523
movies/OldCalStartup.bik|8045094d92d1717ac9f089f52cbc6b2bfdd0cb4a85d8262d0796699bda95b6d4
movies/Outro.bik|be58457207f423fb0560c6083a9b53b349f441747283ae9f8883d9866766b523
movies/PBDiscovery.bik|34c47893dc4d2b642a0468ecdf57551e27fed505bc3dde09c21be3bbfad28a7f
movies/PB_Beauty.bik|851985747b9341d9905c5dd89ed6db83dafbf9ac81477b52024ef81ff43493ca
movies/Prelude.bik|dbd46509c59182dc40cc7c15df1fc02303dfc091908cb33b088ea325c9f12d7f
movies/YoungCalShutdown.bik|e38ee641fb5eec6d9cf7c328df70cbbdcc5f1dda1597ee28f18f68733d329b1e
movies/YoungCalStartup.bik|8377d4d85a13b6c3509bce5022747ba038af72996f43049e9c9eea72c4933c1b
movies/intro.bik|e1fdf1076c0c1c0a76623366135bae0ee2931b9a579bb81d3261c6ea377bd5fb
movies/midtro.bik|a309b2084f044573bcd79f847255965deb17a5b91b3c94ce48679ab5cdafe3ea
movies/psys.bik|a3853bce92b0756e461741aba60c41f6e71310b9cb9e6dcfd63eb1717bcdadf2
