# relative_path|english_sha256|german_sha256
resource.zip|7a8085b29b7c768925415d1bbecf8c8732ce75ddd3043487349de9d845ad3ae9|616476df4d6c4ea6c71bdf33273d896a8d9a4bc348df96bdba96fd4561e5b70a
resource/HTML/encyclopedia/index.html|66325b24c0c213d5bd5407a616e844b5034775c1a61ea97bfd0d93f4e93453a6|26f68e796d214e6284bee33ec69870bbff3c133f131b726b9bd0bc76248e447e
resource/HTML/encyclopedia/ships/freighters/fuel_transporter_medium_freighter.html|b8516d5c7b677bfd17178e7b682e7f50a64b248a1b17b9bddfefab311dd154da|e7038070c1165e57a80f986f3374d300b7926edca4bfe3a817ecea1773da4d3b
resource/TEXT/email.csv|bda9d48e5d1184db3191bc86e864c6ae3939877562d8a16b4c4c381091ccb53e|f73422986797edd5d4a5e6a4526a9935b21683698c0ac4c9b2fd52d083309a9c
resource/TEXT/geog/santa_romera.csv|e465341f4345054511645109851b29a199eb7099471c89bd65aa82f538fbf93e|23f088d3d4bc7a89accf83865b92af7193bf27e20d272554c8219c2fb0b9c324
resource/TEXT/gui.csv|d489ebaa17011dcaacb02a1bf162da467bbd0221e941eb2de9ec081fb04561a0|565e87e9bd4262ab52ff4a7724ccde602210e414f306cd06e3ec5cd9368a5403
resource/TEXT/gui_addendum.csv|fa2e98847588b86dfdc74d62bc75596621457e2bd92f4b11d96fae08a0849241|95dfdcf4b7dac40354f69cfc741e0c8f43c9ec8fcc970b014b951db7f7a9b386
resource/TEXT/objectives.csv|0440acd3a7ae19a28c8d87d5209135c92643a6af37df36829df8f823729461fd|20fee793730d253dfd753b115fe422a63413745cb7d692cca0acbf9e9d73b629
streams/audio/speech/Jafs_bottles_out_1.wav|733b220179d4eae710e287c4e9af33a384f7ac262c9bdbf0d3fa138e9912987a|37dd4cab6de9378f41ac7673916135ba3191def427bd8d541bf9378c5b153c71
streams/audio/speech/Jafs_bottles_out_2.wav|3964f60f4813afb29550af5e4c331b9739674b893e8682e628e7fe33f03948e6|5ed122afe94204a245320a9b7ade47e41fd46725061ea2656ae733d7a7299ed9
streams/audio/speech/Jafs_bottles_out_3.wav|ec0605d10d9547ffe79f19d08b734b7828b668bb090b69e341cdec959552b6da|c3f310fc17b31092a7731d805daca03fafa8a0d4d6ceb66a79c42bc46af53acb
streams/audio/speech/a0_m10_dialogue_clay_approach_engage.wav|55256d2e7e553e65166d637bf2696194775cffd6c66cb7b0d815cd28a8a81abe|e832d4116681591c5a512f065226abc98c4d874f263085f5d0ddb03a55f6570b
