;GENERATED MISSIONS
;
;Character jafs "Jafs"
;Character dave "Dave Schwa MALE"
;Character gardener "Gardener FEMALE"
;Character Oman "Oman MALE"
;Character oman "Oman MALE"
;Character catherine "Catherine Stepson FEMALE"
;Character Maitre "Maitre De MALE"
;Character Jerome "Jerome Stepson MALE"
;Character jerome "Jerome Stepson MALE"
;Character gabriella "Gabriella Stepson FEMALE"
;Character Gabriella "Gabriella Stepson FEMALE"
;Character dr_jones "Dr Jones FEMALE"
;Character gav "'Mad Gav' Stepson MALE"
;Character clive "Clive Wire MALE"
;Character foreman "League Station Construction Foreman MALE"
;Character wafeeq "Wafeeq MALE"
;Character marid "Marid MALE"
;Character speaker "Representative of the Oman Speaker FEMALE"
;Character humam "Humam MALE"
;Character dan "Dan FEMALE"
;Character jardan "Marcal Jardan MALE"
; Mission one
; Jafs has contacted a group of miners who want to buy stolen ore to make up their monthly quota
generated_missions_01_dialogue_jafs_talked_to_miners_01,"I've had a talk with a bunch of miners - they're behind schedule on production and are going to lose everything unless they make their targets. I said you could get them some ore at a very reasonable price, if you get my drift. I think Maas is shipping its ore from the Aldo mine soon."

;jafs
generated_missions_01_dialogue_jafs_shall_I_02,"Shall I run this ore over to the miners?"
;jafs
generated_missions_01_dialogue_jafs_Nice_One_03,"Nice one - you're doing well, but they still need more ore to make that quota."

;Mission Two
; a dodgy dealer called Dave Schwa
generated_missions_02_dialogue_dave_schwa_saved_my_neck_01,"Thanks! You really saved my neck. Here, take these computer spares - they're worth a lot."

;Mission three 
; the Gardener
;generated_missions_03_dialogue_gardener_thats_ideal_01
generated_missions_03_dialogue_gardener_thats_ideal_01,"That's ideal - but we still need more."

;generated_missions_03_dialogue_gardener_thanks_02
generated_missions_03_dialogue_gardener_thanks_02,"Thanks for your help. You'll be happy to know that the orchards are coming along fine. Well done." 

;Mission 4
;generated_missions_04_dialogue_Oman_having_trouble_01
generated_missions_04_dialogue_Oman_having_trouble_01,"The Solan corporate security ships have been causing us trouble and stopping us working. We want you to 'tax' them for their impudence. They have just brought in a new shipment of exotic metal ore to their plant for processing. We wish you to take it from them and bring it back to us. We will process it to remove any signs of ownership and reward you."

;Mission 5
;generated_missions_05_dialogue_oman_reactor_parts_01
generated_missions_05_dialogue_oman_reactor_parts_01, "Bravo! You have served us well. These parts will keep the reactors running for many more months. For such skill we must reward you. Here, take this."

;Mission 6
;generated_missions_06_dialogue_catherine_stepson_saved_lives_01
generated_missions_06_dialogue_catherine_stepson_saved_lives_01,"Thanks to your quick work, lives were saved. We owe you a debt, so I've organised a reward for you. And if you're interested we're going to try and find out who paid those cops off and pay them a visit."

;Mission 7
;generated_missions_07_dialogue_catherine_stepson_small_fortune_01
generated_missions_07_dialogue_catherine_stepson_small_fortune_01,"Hmm. AntiAgathics - a small fortunes' worth. No routing marks on the pod, no data trail. We'll never find out where this came from. Here - if you want it, it's yours. At least you paid them back. Well done."

;Mission 8
