language	path	source	fallback
german	resource/TEXT/email.csv	german-resource.zip	0
german	resource/TEXT/geog/santa_romera.csv	german-resource.zip	0
german	resource/TEXT/gui.csv	german-resource.zip	0
german	resource/TEXT/gui_addendum.csv	german-resource.zip	0
german	resource/TEXT/gui_addendum_6.csv	english-f14-base	1
german	resource/TEXT/multiplayer/iindiesvscorporates.csv	english-f14-base	1
german	resource/TEXT/multiplayer/iminetag.csv	english-f14-base	1
german	resource/TEXT/objectives.csv	german-resource.zip	0
german	resource/text/Cargo_list_addendum.csv	german-resource.zip	0
german	resource/text/GUI.csv	german-resource.zip	0
german	resource/text/GUI_addendum_4.csv	german-resource.zip	0
german	resource/text/GUI_addendum_5.csv	german-resource.zip	0
german	resource/text/HUD.csv	german-resource.zip	0
german	resource/text/In.csv	german-resource.zip	0
german	resource/text/Log.csv	german-resource.zip	0
german	resource/text/Outro_movie.csv	german-resource.zip	0
german	resource/text/Subtargets.csv	german-resource.zip	0
german	resource/text/Wingmen.csv	german-resource.zip	0
german	resource/text/act1_master_addendum4.csv	german-resource.zip	0
german	resource/text/act_0/Act0_master.csv	german-resource.zip	0
german	resource/text/act_0/Act0_master_lucreciamail_1.html	german-resource.zip	0
german	resource/text/act_0/Act0_mission60.csv	german-resource.zip	0
german	resource/text/act_0/act0_master.csv	german-resource.zip	0
german	resource/text/act_0/act0_master_addendum.csv	german-resource.zip	0
german	resource/text/act_0/act0_master_addendum2.csv	german-resource.zip	0
german	resource/text/act_0/act0_master_addendum3.csv	german-resource.zip	0
german	resource/text/act_0/act0_master_lucreciamail_1.html	german-resource.zip	0
german	resource/text/act_0/act0_mission10.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission10_addendum.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission10_addendum2.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission10_addendum3.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission10_addendum4.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission20.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission20_addendum.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission20_addendum2.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission20_addendum3.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission20_demo_training.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission35.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission35_addendum.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission40.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission50.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission60.csv	german-resource.zip	0
german	resource/text/act_0/act0_mission60_addendum.csv	german-resource.zip	0
german	resource/text/act_1/Act1_Mission02_email.html	german-resource.zip	0
german	resource/text/act_1/Act1_Mission03_email.html	german-resource.zip	0
german	resource/text/act_1/Act1_Mission04_email.html	german-resource.zip	0
german	resource/text/act_1/Act1_Mission05_email.html	german-resource.zip	0
german	resource/text/act_1/Act1_Mission07_email.html	german-resource.zip	0
german	resource/text/act_1/Act1_Mission08_email.html	german-resource.zip	0
german	resource/text/act_1/Act1_Mission09_email.html	german-resource.zip	0
